lat,lon,altitude,delta_lat,delta_lon,distance,cumulative_distance,delta_altitude,gradient,color
47.752062,-122.208303,18.1,-0.000167999999995061,-4.0000000041118255e-06,18.676643582960732,1.8596740008905275,-0.09999999999999787,-0.5354281113509651,"[126, 210, 78, 255]"
47.751834,-122.208291,18.2,-0.00022799999999989495,1.1999999998124622e-05,25.374764254824917,1.8850487651453522,0.09999999999999787,0.3940923312459277,"[129, 211, 76, 255]"
47.751663,-122.208298,18.4,-0.00017100000000169757,-6.999999996537554e-06,19.020685758895823,1.904069450904248,0.1999999999999993,1.0514867998724016,"[139, 213, 70, 255]"
47.751584,-122.208388,18.0,-7.899999999949614e-05,-9.000000000014552e-05,13.309330285923526,1.9173787811901717,-0.3999999999999986,-3.005410425669986,"[121, 209, 81, 255]"
47.751373,-122.208496,17.4,-0.00021100000000018326,-0.00010799999999733245,26.34369426018726,1.9437224754503588,-0.6000000000000014,-2.2775848902360303,"[98, 202, 95, 255]"
47.75125,-122.208643,16.7,-0.00012300000000209366,-0.0001469999999983429,21.302189301084574,1.9650246647514433,-0.6999999999999993,-3.2860472231572917,"[73, 193, 109, 255]"
47.751127,-122.208784,16.1,-0.00012300000000209366,-0.0001409999999992806,20.79517311810762,1.985819837869551,-0.5999999999999979,-2.8852849485419356,"[54, 184, 119, 255]"
47.750984,-122.208965,15.4,-0.00014299999999423108,-0.00018100000001197714,25.636758614996257,2.0114565964845474,-0.7000000000000011,-2.7304543858775308,"[39, 173, 128, 255]"
47.750839,-122.209164,14.7,-0.00014500000000339242,-0.00019899999999495321,27.365030868798364,2.0388216273533457,-0.7000000000000011,-2.5580091736645607,"[31, 162, 134, 255]"
47.750749,-122.209368,14.3,-9.000000000014552e-05,-0.00020399999999654028,24.780757310335048,2.063602384663681,-0.3999999999999986,-1.6141556732536775,"[30, 155, 137, 255]"
47.750665,-122.209597,12.7,-8.400000000108321e-05,-0.00022900000000447562,27.10903253521055,2.0907114171988916,-1.6000000000000014,-5.902091850462913,"[37, 130, 142, 255]"
47.750622,-122.209813,6.5,-4.299999999801685e-05,-0.0002159999999946649,24.477087437530844,2.1151885046364223,-6.199999999999999,-25.329811056251355,"[70, 9, 92, 255]"
47.750588,-122.210012,6.1,-3.399999999942338e-05,-0.00019900000000916407,22.43714473850369,2.137625649374926,-0.40000000000000036,-1.7827580321018863,"[68, 1, 84, 255]"
47.750523,-122.210222,6.3,-6.49999999993156e-05,-0.0002099999999956026,24.43162850719152,2.162057277882117,0.20000000000000018,0.8186110063892369,"[69, 5, 88, 255]"
47.750478,-122.21044,11.8,-4.500000000007276e-05,-0.00021800000000382624,24.739102032994563,2.186796379915112,5.500000000000001,22.232011463733187,"[43, 115, 142, 255]"
47.750421,-122.210652,16.1,-5.699999999819738e-05,-0.00021199999999055308,24.39823812653158,2.2111946180416435,4.300000000000001,17.62422342834672,"[54, 184, 119, 255]"
47.750389,-122.210906,17.7,-3.2000000004472895e-05,-0.0002539999999982001,28.452452260052773,2.239647070301696,1.5999999999999979,5.623416868873538,"[109, 206, 88, 255]"
47.750316,-122.211128,18.3,-7.300000000043383e-05,-0.00022200000000793807,25.972544661162672,2.265619614962859,0.6000000000000014,2.3101317480731676,"[134, 212, 73, 255]"
47.750278,-122.21135,18.8,-3.799999999642978e-05,-0.00022199999999372722,25.03170055553428,2.290651315518393,0.5,1.9974671672454734,"[157, 217, 58, 255]"
47.750225,-122.211604,19.8,-5.300000000119098e-05,-0.0002539999999982001,28.83730466993388,2.319488620188327,1.0,3.4677304673436145,"[202, 224, 30, 255]"
47.750173,-122.211841,20.6,-5.200000000371574e-05,-0.00023700000001269927,26.966499097924405,2.3464551192862517,0.8000000000000007,2.9666438980267045,"[238, 229, 27, 255]"
47.750147,-122.21207,21.0,-2.5999999998305157e-05,-0.00022899999999026477,25.614344957531017,2.3720694642437827,0.3999999999999986,1.561624943613451,"[253, 231, 36, 255]"
47.750118,-122.213191,20.6,-2.8999999997836312e-05,-0.0011209999999977072,124.62850154479383,2.496697965788577,-0.3999999999999986,-0.320953870937966,"[238, 229, 27, 255]"
47.750076,-122.213476,19.8,-4.2000000000541604e-05,-0.00028500000000519776,32.01671355760342,2.52871467934618,-0.8000000000000007,-2.4986949349459837,"[202, 224, 30, 255]"
47.750035,-122.213709,18.9,-4.100000000306636e-05,-0.0002329999999943766,26.29324197635407,2.5550079213225345,-0.9000000000000021,-3.4229327855780824,"[159, 217, 56, 255]"
47.750059,-122.213989,18.4,2.400000000335467e-05,-0.0002800000000036107,31.233025202984425,2.5862409465255185,-0.5,-1.6008695819584688,"[139, 213, 70, 255]"
47.75011,-122.214238,18.1,5.099999999913507e-05,-0.00024899999999661304,28.24811460379822,2.6144890611293166,-0.29999999999999716,-1.062017781390831,"[126, 210, 78, 255]"
47.75019,-122.214488,18.1,8.000000000407681e-05,-0.00025000000000829914,29.172664387679983,2.6436617255169965,0.0,0.0,"[126, 210, 78, 255]"
47.750271,-122.214751,17.7,8.099999999444663e-05,-0.000263000000003899,30.584435086062154,2.674246160603059,-0.40000000000000213,-1.3078547923950012,"[109, 206, 88, 255]"
47.750373,-122.214972,17.4,0.00010200000000537557,-0.00022099999999625197,27.051561357447145,2.701297721960506,-0.3000000000000007,-1.1089932889119998,"[98, 202, 95, 255]"
47.750483,-122.215212,17.1,0.00010999999999938836,-0.00023999999999091415,29.34153794909478,2.7306392599096005,-0.29999999999999716,-1.0224412930244937,"[85, 198, 102, 255]"
47.750595,-122.215464,16.9,0.00011199999999433885,-0.0002520000000032496,30.648581802621383,2.761287841712222,-0.20000000000000284,-0.6525587424828146,"[79, 195, 105, 255]"
47.75069,-122.215703,16.8,9.500000000173259e-05,-0.00023900000000764976,28.583689008315528,2.7898715307205375,-0.09999999999999787,-0.34984987406945967,"[75, 194, 108, 255]"
47.750787,-122.215943,16.7,9.70000000037885e-05,-0.00023999999999091415,28.76954895993502,2.8186410796804724,-0.10000000000000142,-0.3475897385088073,"[73, 193, 109, 255]"
47.750896,-122.216189,16.9,0.0001089999999948077,-0.0002460000000041873,29.903826885867005,2.8485449065663397,0.1999999999999993,0.6688107203246361,"[79, 195, 105, 255]"
47.751017,-122.216418,17.3,0.00012100000000003774,-0.00022900000000447562,28.78521555369621,2.877330122120036,0.40000000000000213,1.389602239572736,"[94, 201, 97, 255]"
47.751124,-122.216667,17.4,0.00010699999999985721,-0.00024899999999661304,30.12051442466145,2.9074506365446973,0.09999999999999787,0.331999641805991,"[98, 202, 95, 255]"
47.751225,-122.216899,17.3,0.0001010000000007949,-0.00023199999999690135,28.121681056815383,2.9355723176015127,-0.09999999999999787,-0.355597518505255,"[94, 201, 97, 255]"
47.751319,-122.217138,16.9,9.400000000425734e-05,-0.00023900000000764976,28.54282348535703,2.96411514108687,-0.40000000000000213,-1.4014030539242524,"[79, 195, 105, 255]"
47.751411,-122.217379,16.6,9.1999999995096e-05,-0.0002409999999883894,28.669769379010962,2.992784910465881,-0.29999999999999716,-1.0463983718670096,"[69, 191, 111, 255]"
